,country,month,export_value
521,Germany,2013-02-01,260110037.804
522,Italy,2013-02-01,30897309.714
523,Japan,2013-02-01,351688700.862
524,Malaysia,2013-02-01,225626644.521
525,Netherlands,2013-02-01,83401380.53
526,Philippines,2013-02-01,62119717.0
527,Singapore,2013-02-01,76378881.709
528,Thailand,2013-02-01,13585507.0
529,USA,2013-02-01,192409281.0
530,Rep. of Korea,2013-02-01,272078836.0
531,Viet Nam,2013-02-01,6367593.879
532,China,2013-03-01,1450516482.764
533,"China, Hong Kong SAR",2013-03-01,212392651.1
534,France,2013-03-01,42503511.12
535,Germany,2013-03-01,332557119.849
536,Italy,2013-03-01,30604425.936
537,Japan,2013-03-01,382745074.7
538,Malaysia,2013-03-01,259628638.804
539,Netherlands,2013-03-01,97656292.619
540,Philippines,2013-03-01,75667789.0
541,Singapore,2013-03-01,110323484.01
542,Thailand,2013-03-01,15166082.0
543,USA,2013-03-01,164938084.0
544,Rep. of Korea,2013-03-01,328465639.0
545,Viet Nam,2013-03-01,9446722.008
546,China,2013-04-01,1090918574.332
547,"China, Hong Kong SAR",2013-04-01,276005315.53
548,France,2013-04-01,33640832.625
549,Germany,2013-04-01,342733757.998
550,Italy,2013-04-01,24409781.098
551,Japan,2013-04-01,391811765.52
552,Malaysia,2013-04-01,235209964.163
553,Netherlands,2013-04-01,65491919.616
554,Philippines,2013-04-01,66967854.0
555,Singapore,2013-04-01,0.0
556,Thailand,2013-04-01,15154050.0
557,USA,2013-04-01,161792193.0
558,Rep. of Korea,2013-04-01,337583451.0
559,Viet Nam,2013-04-01,9675304.137
560,China,2013-05-01,1426695569.687
561,"China, Hong Kong SAR",2013-05-01,241893619.258
562,France,2013-05-01,35386049.996
563,Germany,2013-05-01,336501336.951
564,Italy,2013-05-01,25379511.414
565,Japan,2013-05-01,354618947.813
566,Malaysia,2013-05-01,259254095.47
567,Netherlands,2013-05-01,74449376.119
568,Philippines,2013-05-01,245175034.0
569,Singapore,2013-05-01,162916347.873
570,Thailand,2013-05-01,15706919.0
571,USA,2013-05-01,176303722.0
572,Rep. of Korea,2013-05-01,379133361.0
573,Viet Nam,2013-05-01,9986914.428
574,China,2013-06-01,1308970195.279
575,"China, Hong Kong SAR",2013-06-01,244264942.402
576,France,2013-06-01,41906016.394
577,Germany,2013-06-01,380200304.045
578,Italy,2013-06-01,51050200.685
579,Japan,2013-06-01,411977321.206
580,Malaysia,2013-06-01,286817231.594
581,Netherlands,2013-06-01,126032256.005
582,Philippines,2013-06-01,86433224.0
583,Singapore,2013-06-01,105985121.761
584,Thailand,2013-06-01,16931449.0
585,USA,2013-06-01,192334319.0
586,Rep. of Korea,2013-06-01,343594415.0
587,Viet Nam,2013-06-01,10249122.476
588,China,2013-07-01,1240037601.047
589,"China, Hong Kong SAR",2013-07-01,224586569.444
590,France,2013-07-01,24863405.76
591,Germany,2013-07-01,302965382.28
592,Italy,2013-07-01,37724198.04
593,Japan,2013-07-01,420292130.05
594,Malaysia,2013-07-01,280833839.465
595,Netherlands,2013-07-01,79119373.944
596,Philippines,2013-07-01,92580747.0
597,Singapore,2013-07-01,140605310.368
598,Thailand,2013-07-01,17830657.0
599,USA,2013-07-01,166630040.0
600,Rep. of Korea,2013-07-01,329194947.0
601,Viet Nam,2013-07-01,8077726.74
602,China,2013-08-01,1192092987.367
603,"China, Hong Kong SAR",2013-08-01,225271468.572
604,France,2013-08-01,25108782.6
605,Germany,2013-08-01,309508928.509
606,Italy,2013-08-01,30391242.09
607,Japan,2013-08-01,453067254.198
608,Malaysia,2013-08-01,282983772.931
609,Netherlands,2013-08-01,63288266.041
610,Philippines,2013-08-01,92689175.0
611,Singapore,2013-08-01,128914011.962
612,Thailand,2013-08-01,16857859.0
613,USA,2013-08-01,194039180.0
614,Rep. of Korea,2013-08-01,311012488.0
615,Viet Nam,2013-08-01,7163865.916
616,China,2013-09-01,1085230397.196
617,"China, Hong Kong SAR",2013-09-01,284251611.226
618,France,2013-09-01,38393960.284
619,Germany,2013-09-01,260156300.154
620,Italy,2013-09-01,28461900.356
621,Japan,2013-09-01,390399119.978
622,Malaysia,2013-09-01,297943359.612
623,Netherlands,2013-09-01,70226946.093
624,Philippines,2013-09-01,111223119.0
625,Singapore,2013-09-01,117589067.564
626,Thailand,2013-09-01,16522026.0
627,USA,2013-09-01,193113479.0
628,Rep. of Korea,2013-09-01,325791631.0
629,Viet Nam,2013-09-01,5926867.773
630,China,2013-10-01,1310433355.768
631,"China, Hong Kong SAR",2013-10-01,282568969.92
632,France,2013-10-01,27533057.458
633,Germany,2013-10-01,287733732.385
634,Italy,2013-10-01,34810301.219
635,Japan,2013-10-01,415693688.239
636,Malaysia,2013-10-01,280944283.982
637,Netherlands,2013-10-01,80709018.907
638,Philippines,2013-10-01,119396867.0
639,Singapore,2013-10-01,144002136.475
640,Thailand,2013-10-01,19440959.0
641,USA,2013-10-01,190120324.0
642,Rep. of Korea,2013-10-01,327561597.0
643,Viet Nam,2013-10-01,9476544.24
644,China,2013-11-01,1053061407.141
645,"China, Hong Kong SAR",2013-11-01,288988888.491
646,France,2013-11-01,32768735.361
647,Germany,2013-11-01,271125734.796
648,Italy,2013-11-01,35809886.897
649,Japan,2013-11-01,396544608.581
650,Malaysia,2013-11-01,301293177.129
651,Netherlands,2013-11-01,80171247.035
652,Philippines,2013-11-01,108202385.0
653,Singapore,2013-11-01,131265042.763
654,Thailand,2013-11-01,19156118.0
655,USA,2013-11-01,186204150.0
656,Rep. of Korea,2013-11-01,277525333.0
657,Viet Nam,2013-11-01,7216655.166
658,China,2013-12-01,1133700287.352
659,"China, Hong Kong SAR",2013-12-01,285779730.971
660,France,2013-12-01,47945631.007
661,Germany,2013-12-01,209927098.083
662,Italy,2013-12-01,33583784.989
663,Japan,2013-12-01,404555367.43
664,Malaysia,2013-12-01,276139201.125
665,Netherlands,2013-12-01,74989707.59
666,Philippines,2013-12-01,108784066.0
667,Singapore,2013-12-01,106214509.353
668,Thailand,2013-12-01,18982046.0
669,USA,2013-12-01,193212965.0
670,Rep. of Korea,2013-12-01,266908525.0
671,Viet Nam,2013-12-01,3163980.1920000003
672,China,2014-01-01,2410597042.952
673,"China, Hong Kong SAR",2014-01-01,258305726.981
674,France,2014-01-01,17393080.513
675,Germany,2014-01-01,252261724.275
676,Italy,2014-01-01,28548523.818
677,Japan,2014-01-01,331309083.114
678,Malaysia,2014-01-01,280615845.727
679,Netherlands,2014-01-01,82554281.797
680,Philippines,2014-01-01,96510783.0
681,Singapore,2014-01-01,138824698.718
682,Thailand,2014-01-01,17574926.856
